A  AX
EARLY  ER L IY
EARN  ER N
EARNESTLY  ER N IX S T L IY
EARS  IH R Z
EARTH  ER TH
EARTH'S  ER TH S
EARTHENWARE  ER TH AX N W AE R
EARTHLY  ER TH L IY
EARTHQUAKE  ER TH K W EY K
EASE  IY Z
EASED  IY Z D
EASIER  IY Z IY AXR
EASILY  IY Z AX L IY
EASTERN  IY S T AXR N
EASY  IY Z IY
EASYGOING  IY Z IY G OW IX NG
EAT  IY T
EATEN  IY T EN
EATING  IY T IX NG
ECCENTRICITY  EH K S EH N T R IH S IX T IY
ECHO  EH K OW
ECONOMIC  EH K IX N AA M IH K
ECONOMICALLY  EH K IX N AA M IH K L IY
ECONOMY  IH K AA N AX M IY
ECUMENICAL  EH K Y UH M EH N IH K EL
EDGE  EH JH
EDGES  EH JH IX Z
EDGY  EH D JH IY
EDUCATION  EH JH IX K EY SH IX N
EDUCATIONAL  EH JH IX K EY SH IX N EL
EFFECT  IH F EH K T
EFFECTIVE  IH F EH K T IH V
EFFECTS  IH F EH K T S
EFFICIENCY  IH F IH SH IX N S IY
EFFICIENT  IH F IH SH IX N T
EFFORT  EH F AXR T
EGG  EH G
EGG-SIZED  EH G S AY Z D
EGGS  EH G Z
EGO  IY G OW
EGOTIST  IY G OW T IH S T
EIGHT  EY T
EIGHTEENTH  EY T IY N TH
EITHER  IY DH AXR
ELABORATELY  AX L AE B AXR AX T L IY
ELBOWING  EH L B OW IX NG
ELDERLY  EH L D AXR L IY
ELECTION  AX L EH K SH IX N
ELECTRIC  AX L EH K T R IH K
ELECTRICAL  AX L EH K T R IH K EL
ELECTRICITY  AX L EH K T R IH S IX T IY
ELECTRON  AX L EH K T R AA N
ELECTRONIC  AX L EH K T R AA N IH K
ELECTROSTATIC  AX L EH K T R AX S T AE T IX K
ELEGANT  EH L IX G IX N T
ELEMENT  EH L AX M AX N T
ELEMENTARY  EH L AX M EH N T AXR IY
ELEMENTARY-SCHOOL  EH L AX M EH N T AXR IY S K UW L
ELEMENTS  EH L AX M AX N T S
ELEVATOR  EH L AX V EY T AXR
ELEVEN  AX L EH V AX N
ELLIPSOIDS  AX L IH P S OY D
ELM  EH L M
ELONGATION  IH L AO NG G EY SH IX N
ELSE  EH L S
ELSEWHERE  EH L S W AE R
EMBANKMENT  IH M B AE NG K M AX N T
EMBLEM  EH M B L AX M
EMBODIMENT  EH M B AA D IX M AX N T
EMBRACING  EH M B R EY S IX NG
EMERGE  IH M ER JH
EMERGENCY  IH M ER JH IX N S IY
EMOTION  IH M OW SH IX N
EMOTIONAL  IH M OW SH IX N EL
EMOTIONALLY  IH M OW SH IX N AX L IY
EMOTIONS  IH M OW SH IX N Z
EMPEROR  EH M P AXR AXR
EMPHASIS  EH M F AX S IX S
EMPHASIZE  EH M F AX S AY Z
EMPHASIZED  EH M F AX S AY Z D
EMPHYSEMA  EH M F AX Z IY M AA
EMPIRICAL  IH M P IH R IH K EL
EMPLOYEE  IH M P L OY IY
EMPLOYEES  IH M P L OY IY Z
EMPLOYMENT  IH M P L OY M AX N T
EMPTY  EH M P T IY
ENABLING  IH N EY B EL IX NG
ENACT  IH N AE K T
ENAMEL  IH N AE M EL
ENCAMPED  IH N K AE M P T
ENCLOSED  EH N K L OW Z D
ENCOUNTERED  IH N K AW N T AXR D
ENCOURAGE  IH N K ER IH JH
ENCOURAGED  IH N K ER IH JH D
ENCYCLOPEDIAS  IH N S AY K L AX P IY D IY AX Z
END  EH N D
ENDEAVORED  IH N D EH V AXR D
ENDED  EH N D IX D
ENDOSPERM  EH N D OW S P ER M
ENDS  EH N D Z
ENDURANCE  EH N D UH R EN S
ENEMY  EH N AX M IY
ENERGY  EH N ER JH IY
ENGINE  EH N JH IX N
ENGINEER  EH N JH IX N IH R
ENGINEERING  EH N JH IX N IH R IX NG
ENGINEERS'  EH N JH IX N IH R Z
ENGULFED  EH N G AH L F T
ENIGMA  IH N IH G M AX
ENJOY  EH N JH OY
ENJOYED  EH N JH OY D
ENLIGHTENMENT  IH N L AY T EN M AX N T
ENLISTED  IH N L IH S T IX D
ENORMOUS  IH N AO R M AX S
ENOUGH  IH N AH F
ENRICH  IH N R IH CH
ENSUE  IH N S UW
ENTER  EH N T AXR
ENTERTAINING  EH N T AXR T EY N IX NG
ENTHUSIASTIC  IH N TH UW Z IY AE S T IH K
ENTIRE  IH N T AY AXR
ENTIRELY  IH N T AY AXR L IY
ENTITLE  IH N T AY T EL
ENTITY  EH N IX T IY
ENTRIES  EH N T R IY Z
ENTROPY  EH N T R AX P IY
ENTRY  EH N T R IY
ENVELOPE  EH N V AX L OW P
ENVIRONMENT  EH N V AY R AX N M AX N T
ENVIRONMENTS  EH N V AY R AX N M AX N T S
ENZYME  EH N Z AY M
EPHEMERAL  EH F EH M AXR EL
EPIDEMIC  EH P AX D EH M IH K
EPISODE  EH P AX S OW D
EQUAL  IY K W EL
EQUALLY  IY K W EL IY
EQUATION  IH K W EY ZH IX N
EQUIPMENT  AX K W IH P M AX N T
EQUIPPED  AX K W IH P T
EQUIVALENT  IH K W IH V EL AX N T
ERA  EH R AX
ERECT  IH R EH K T
EROTIC  IH R AA T IH K
ERRORS  EH R AXR Z
ERUPTION  IH R AH P SH IX N
ESCALATOR  EH S K AX L EY T AXR
ESCAPE  EH S K EY P
ESOTERIC  EH S AX T EH R IH K
ESPECIALLY  IH S P EH SH AX L IY
ESSAY  EH S EY
ESSENTIAL  IH S EH N SH EL
ESSENTIALLY  IH S EH N SH AX L IY
ESTABLISH  IH S T AE B L IH SH
ESTABLISHMENT  IH S T AE B L IH SH M AX N T
ESTIMATE  EH S T IX M IH T
ESTIMATES  EH S T IX M IH T S
ETC.  EH T S EH T AXR AX
ETERNAL  IH T ER N EL
ETERNITY  IH T ER N IX T IY
ETIQUETTE  EH T IH K IX T
EVACUATE  IH V AE K Y UW EY T
EVALUATE  IH V AE L Y UW EY T
EVALUATED  IH V AE L Y UW EY T IX D
EVALUATION  IH V AE L Y UW EY SH IX N
EVASIVE  IH V EY S IH V
EVEN  IY V AX N
EVENING  IY V N IH NG
EVENLY  IY V AX N L IY
EVENTS  AX V EH N T S
EVENTUALITIES  IH V EH N CH UW AE L IX T IY Z
EVENTUALLY  IH V EH N CH UW AX L IY
EVER  EH V AXR
EVER-INCREASING  EH V AXR IH N K R IY S IX NG
EVERY  EH V R IY
EVERYBODY  EH V R IY B AH D IY
EVERYONE  EH V R IY W AH N
EVERYTHING  EH V R IY TH IH NG
EVIDENCE  EH V IX D IH N S
EVIDENT  EH V IX D IX N T
EVOCATIVE  IH V AA K AX T IH V
EVOLVE  IH V AA L V
EXACERBATED  IH G Z AE S AXR B EY T IX D
EXACERBATIONS  IH G Z AE S AXR B EY SH IX N Z
EXACTLY  IH G Z AE K T L IY
EXAGGERATED  IH G Z AE JH AXR EY T IX D
EXAM  IH G Z AE M
EXAMINATION  IH G Z AE M IH N EY SH IX N
EXAMINED  IH G Z AE M IX N D
EXAMPLE  IH G Z AE M P EL
EXAMPLES  IH G Z AE M P EL Z
EXBOYFRIEND  EH K S B OY F R EH N D
EXCELLENT  EH K S EL AX N T
EXCEPT  IH K S EH P T
EXCEPTION  IH K S EH P SH IX N
EXCESS  EH K S EH S
EXCHANGE  IH K S CH EY N JH
EXCHANGED  IH K S CH EY N JH D
EXCITED  IH K S AY T IX D
EXCITEMENT  IH K S AY T M AX N T
EXCITING  IH K S AY T IX NG
EXCLAIMING  IH K S K L EY M IX NG
EXCLUDED  IH K S K L UW D IX D
EXCLUSIVE  IH K S K L UW S IH V
EXECUTE  EH K S IX K Y UW T
EXECUTION  EH K S IX K Y UW SH IX N
EXECUTIVE  IH G Z EH K Y UW T IH V
EXERCISE  EH K S AXR S AY Z
EXERCISES  EH K S AXR S AY Z IX Z
EXHIBITED  IH G Z IH B AX T IX D
EXHIBITS  IH G Z IH B AX T S
EXHUSBAND  EH K S HH AH Z B AX N D
EXIST  IH G Z IH S T
EXISTED  IH G Z IH S T IX D
EXISTENCE  IH G Z IH S T IX N S
EXISTING  IH G Z IH S T IX NG
EXISTS  IH G Z IH S T S
EXOTIC  IH G Z AA T IH K
EXPECT  EH K S P EH K T
EXPECTATIONS  EH K S P EH K T EY SH IX N Z
EXPECTED  EH K S P EH K T IX D
EXPECTING  EH K S P EH K T IX NG
EXPECTS  EH K S P EH K T S
EXPENSE  EH K S P EH N S
EXPENSIVE  EH K S P EH N S IH V
EXPERIENCE  IH K S P IH R IY AX N S
EXPERIENCED  IH K S P IH R IY AX N S T
EXPERIMENT  EH K S P EH R AX M AX N T
EXPERIMENT'S  EH K S P EH R AX M AX N T S
EXPERIMENTAL  EH K S P EH R AX M EH N T AX L
EXPERIMENTS  EH K S P EH R AX M AX N T S
EXPERTISE  EH K S P ER T IY Z
EXPERTLY  EH K S P ER T L IY
EXPERTS  EH K S P ER T S
EXPLAIN  IH K S P L EY N
EXPLAINS  IH K S P L EY N Z
EXPLANATION  EH K S P L IX N EY SH IX N
EXPLICITLY  IH K S P L IH S IX T L IY
EXPLORING  IH K S P L AO R IX NG
EXPLOSION  IH K S P L OW ZH IX N
EXPORT  EH K S P AO R T
EXPOSED  IH K S P OW Z D
EXPOSURE  IH K S P OW ZH AXR
EXPRESSION  IH K S P R EH SH IX N
EXPRESSWAY  IH K S P R EH S W EY
EXQUISITE  EH K S K W IH Z IX T
EXTENDED  IH K S T EH N D IX D
EXTENDING  IH K S T EH N D IX NG
EXTENSIVE  IH K S T EH N S IH V
EXTENT  IH K S T EH N T
EXTRA  EH K S T R AX
EXTRAORDINARY  IH K S T R AO R D EN EH R IY
EXTREMELY  IH K S T R IY M L IY
EXULTANTLY  IH G Z AH L T EN T L IY
EYE  AY
EYEBROW  AY B R AW
EYEDROPS  AY D R AA P S
EYELIDS  AY L IH D Z
EYES  AY Z
EYESTRAIN  AY S T R EY N
FABRIC  F AE B R IH K
FABRICS  F AE B R IH K S
FACE  F EY S
FACES  F EY S IX Z
FACT  F AE K T
FACTIONS  F AE K SH IX N Z
FACTORS  F AE K T AXR Z
FACTS  F AE K T S
FACULTY  F AE K EL T IY
FADED  F EY D IX D
FAIL  F EY L
FAILED  F EY L D
FAILS  F EY L Z
FAILURE  F EY L Y AXR
FAINT  F EY N T
FAIR  F AE R
FAIRLY  F AE R L IY
FAIRY  F AE R IY
FAITH  F EY TH
FALL  F AO L
FALLEN  F AO L IX N
FALLOUT  F AO L AW T
FALLS  F AO L Z
FALSE  F AO L S
FALTERS  F AO L T AXR Z
FAME  F EY M
FAMILIAR  F AX M IH L Y AXR
FAMILIARITY  F AX M IH L Y AE R AX T IY
FAMILY  F AE M EL IY
FAMOUS  F EY M AX S
FAN  F AE N
FANCIER  F AE N S IY AXR
FANCY  F AE N S IY
FANGS  F AE NG Z
FAR  F AA R
FARM  F AA R M
FARMER'S  F AA R M AXR Z
FARMERS  F AA R M AXR Z
FARMHOUSES  F AA R M HH AW Z IX Z
FARMLAND  F AA R M L AE N D
FARMYARD  F AA R M Y AA R D
FARTHER  F AA R DH AXR
FASCICULATIONS  F AX S IH K Y AX L EY SH IX N Z
FASCINATING  F AE S EN EY T IX NG
FASHION  F AE SH IX N
FASHIONED  F AE SH IX N D
FAST  F AE S T
FAST-CLOSING  F AE S T AO L OW Z IX NG
FAST-OPENING  F AE S T OW P AX N IX NG
FASTER  F AE S T AXR
FAT  F AE T
FATHER  F AA DH AXR
FATHER'S  F AA DH AXR Z
FATHERS  F AA DH AXR Z
FATIGUE  F AX T IY G
FATIGUED  F AX T IY G D
FATIGUES  F AX T IY G Z
FAULT  F AO L T
FAULTS  F AO L T S
FAVOR  F EY V AXR
FAVORABLE  F EY V AXR AX B EL
FAVORITE  F EY V AXR IX T
FAWN  F AO N
FEAR  F IH R
FEARED  F IH R D
FEARFUL  F IH R F EL
FEARS  F IH R Z
FEASIBLE  F IY Z AX B EL
FEAST  F IY S T
FEATHER  F EH DH AXR
FEATHERED  F EH DH AXR D
FEATHERS  F EH DH AXR Z
FEATURES  F IY CH AXR Z
FEED  F IY D
FEEL  F IY L
FEELING  F IY L IX NG
FEELINGS  F IY L IX NG Z
FEELS  F IY L Z
FEET  F IY T
FELL  F EH L
FELLA  F EH L AX
FELLOWSHIP  F EH L OW SH IH P
FELT  F EH L T
FEMALE  F IY M EY L
FENCED  F EH N S T
FENCES  F EH N S IX Z
FERMENTED  F ER M EH N T IX D
FERRIES  F EH R IY Z
FERTILIZERS  F ER T AX L AY Z AXR Z
FEVER  F IY V AXR
FEVERISHLY  F IY V AXR IH SH L IY
FEW  F Y UW
FEWER  F Y UW AXR
FIBERS  F AY B AXR Z
FIBROSIS  F AY B R OW S IX S
FICTION  F IH K SH IX N
FIDDLES  F IH D EL Z
FIELD  F IY L D
FIELDS  F IY L D Z
FIELDWORK  F IY L D W ER K
FIERCELY  F IH R S L IY
FIERCEST  F IH R S IX S T
FIERY  F AY R IY
FIFTEEN  F IH F T IY N
FIFTH  F IH F TH
FIFTY  F IH F T IY
FIGHT  F AY T
FIGHTS  F AY T S
FIGURE  F IH G Y AXR
FIGURED  F IH G Y AXR D
FIGURES  F IH G Y AXR Z
FILE  F AY L
FILES  F AY L Z
FILL  F IH L
FILLING  F IH L IX NG
FILM  F IH L M
FILMS  F IH L M Z
FILTERED  F IH L T AXR D
FILTERING  F IH L T AXR IX NG
FINAL  F AY N EL
FINALLY  F AY N EL IY
FINANCING  F AY N AE N S IX NG
FIND  F AY N D
FINDING  F AY N D IX NG
FINDS  F AY N D Z
FINE  F AY N
FINE-FEATHERED  F AY N F EH DH AXR D
FINGER  F IH NG G AXR
FINGERPRINTS  F IH NG G AXR P R IH N T S
FINGERS  F IH NG G AXR Z
FINISH  F IH N IH SH
FINISHING  F IH N IH SH IX NG
FIRE  F AY AXR
FIREBUG  F AY AXR B AH G
FIRECRACKERS  F AY AXR K R AE K AXR Z
FIREPLACE  F AY AXR P L EY S
FIRES  F AY AXR Z
FIRING  F AY AXR IX NG
FIRMLY  F ER M L IY
FIRMNESS  F ER M N IX S
FIRMS  F ER M Z
FIRST  F ER S T
FISCAL  F IH S K EL
FISH  F IH SH
FISHERMEN  F IH SH AXR M EH N
FISHING  F IH SH IX NG
FIST  F IH S T
FISTS  F IH S T S
FIT  F IH T
FITFULLY  F IH T F EL IY
FIVE  F AY V
FIVE-HUNDRED  F AY V HH AH N D R AX D
FIX  F IH K S
FIXED  F IH K S T
FJORDS  F IY AO R D Z
FLAG  F L AE G
FLAME  F L EY M
FLASH  F L AE SH
FLASHING  F L AE SH IX NG
FLAT  F L AE T
FLAT-BOTTOMED  F L AE T B AA T EM D
FLAWLESS  F L AO L AX S
FLAXSEED  F L AE K S IY D
FLED  F L EH D
FLEECY  F L IY S IY
FLESH  F L EH SH
FLEW  F L UW
FLEXIBILITY  F L EH K S AX B IH L IX T IY
FLEXIBLE  F L EH K S AX B EL
FLICKERED  F L IH K AXR D
FLIES  F L AY Z
FLIMSY  F L IH M Z IY
FLIP  F L IH P
FLOAT  F L OW T
FLOC  F L AA K
FLOOD  F L AH D
FLOOR  F L AO R
FLOORBOARDS  F L AO R B AO R D Z
FLOPPED  F L AA P T
FLOURISH  F L AH R IH SH
FLOURISHES  F L AH R IH SH IX Z
FLOW  F L OW
FLOWER  F L AW AXR
FLOWERPOT  F L AW AXR P AA T
FLOWERS  F L AW AXR Z
FLU  F L UW
FLUENT  F L UW AX N T
FLUID  F L UW IX D
FLURRIES  F L ER IY Z
FLUTTERED  F L AH T AXR D
FLYING  F L AY IX NG
FOAM  F OW M
FOAMY  F OW M IY
FOCUS  F OW K IX S
FOG  F AO G
FOIL  F OY L
FOLD  F OW L D
FOLDED  F OW L D IX D
FOLDS  F OW L D Z
FOLLOW  F AA L OW
FOLLOWED  F AA L OW D
FOLLOWING  F AA L OW IX NG
FOLLOWS  F AA L OW Z
FOOD  F UW D
FOODS  F UW D Z
FOOL  F UW L
FOOLING  F UW L IX NG
FOOLISH  F UW L IH SH
FOOLS  F UW L Z
FOOT  F UH T
FOOTBALL  F UH T B AO L
FOOTFALL  F UH T F AO L
FOOTNOTES  F UH T N OW T S
FOR  F AO R
FORBIDDEN  F AO R B IH D EN
FORCE  F AO R S
FORCED  F AO R S T
FORCES  F AO R S IX Z
FORECASTS  F AO R K AE S T S
FOREHEAD  F AO R HH EH D
FOREIGN  F AO R AX N
FOREIGNERS  F AO R AX N AXR Z
FOREST  F AO R IX S T
FOREVER  F AXR EH V AXR
FORGED  F AO R JH D
FORGERY  F AO R JH ER IY
FORGET  F AO R G EH T
FORGIVENESS  F AO R G IH V N IX S
FORGOT  F AO R G AA T
FORM  F AO R M
FORMALITY  F AO R M AE L IX T IY
FORMATION  F AO R M EY SH IX N
FORMED  F AO R M D
FORMER  F AO R M AXR
FORMS  F AO R M Z
FORMULA  F AO R M Y UH L AX
FORMULATION  F AO R M Y UH L EY SH IX N
FORTH  F AO R TH
FORTUNE  F AO R CH IX N
FORTY  F AO R T IY
FORTY-SEVEN  F AO R T IY S EH V AX N
FORWARD  F AO R W AXR D
FOSTERS  F AO S T AXR Z
FOUGHT  F AO T
FOUL  F AW L
FOUND  F AW N D
FOUR  F AO R
FRAME  F R EY M
FRAMEWORK  F R EY M W ER K
FRANKFURTER  F R AE NG K F AXR T AXR
FRANKFURTERS  F R AE NG K F AXR T AXR Z
FRANTICALLY  F R AE N T IX K L IY
FREED  F R IY D
FREEDOM  F R IY D AX M
FREELY  F R IY L IY
FREETHINKERS  F R IY TH IH NG K AXR Z
FREEWAY  F R IY W EY
FREQUENT  F R IY K W AX N T
FREQUENTLY  F R IY K W AX N T L IY
FRESH  F R EH SH
FRIEND  F R EH N D
FRIENDS  F R EH N D Z
FRIGHTENED  F R AY T EN D
FRINGE  F R IH N JH
FRIVOLOUS  F R IH V EL AX S
FROM  F R AH M
FRONT  F R AH N T
FROST  F R AO S T
FROSTBITE  F R AO S T B AY T
FROWNINGLY  F R AW N IX NG L IY
FROZE  F R OW Z
FRUIT  F R UW T
FRUSTRATION  F R AH S T R EY SH IX N
FUDGE  F AH JH
FULFILLING  F UH L F IH L IX NG
FULFILLMENT  F UH L F IH L M AX N T
FULL  F UH L
FULLNESS  F UH L N IX S
FULLY  F UH L IY
FUMBLED  F AH M B EL D
FUMING  F Y UW M IX NG
FUN  F AH N
FUNCTION  F AH NG K SH IX N
FUNCTIONAL  F AH NG K SH IX N EL
FUND  F AH N D
FUNDING  F AH N D IX NG
FUNDS  F AH N D Z
FUNGICIDES  F AH N JH IX S AY D Z
FUNNEL  F AH N EL
FUNNY  F AH N IY
FUR  F ER
FURIOUSLY  F Y UH R IY AX S L IY
FURNISH  F ER N IH SH
FURRIER  F ER IY AXR
FURTHER  F ER DH AXR
FUSS  F AH S
FUTURE  F Y UW CH AXR
GAB  G AE B
GADFLY  G AE D F L AY
GADGET  G AE JH IX T
GAG  G AE G
GAIN  G EY N
GAINED  G EY N D
GAIT  G EY T
GALLANT  G AE L IX N T
GALLON  G AE L IX N
GALOSHES  G AX L AA SH IX Z
GALVANIC  G AE L V AE N IH K
GAME  G EY M
GANG  G AE NG
GANGPLANK  G AE NG P L AE NG K
GARAGE  G AXR AA ZH
GARBAGE  G AA R B IH JH
GARDEN  G AA R D EN
GARDENS  G AA R D EN Z
GARLIC  G AA R L IH K
GARRISONED  G AE R IX S IX N D
GAS  G AE S
GASHES  G AE SH IX Z
GASSING  G AE S IX NG
GATES  G EY T S
GATEWAY  G EY T W EY
GATHERED  G AE DH AXR D
GATHERING  G AE DH AXR IX NG
GAUDY  G AO D IY
GAVE  G EY V
GAY  G EY
GAZED  G EY Z D
GEAR  G IH R
GEEING  JH IY IX NG
GEESE  G IY S
GENERAL  JH EH N AXR EL
GENERAL'S  JH EH N AXR EL Z
GENERALIZATIONS  JH EH N AXR EL AX Z EY SH IX N Z
GENERALIZE  JH EH N AXR AX L AY Z
GENERALLY  JH EH N AXR AX L IY
GENERALS  JH EH N AXR EL Z
GENERATIONS  JH EH N AXR EY SH IX N Z
GENEROUS  JH EH N AXR IX S
GENEROUSLY  JH EH N AXR IX S L IY
GENTLE  JH EH N T EL
GENTLEMAN  JH EH N T EL M AX N
GENTLY  JH EH N T L IY
GENUINELY  JH EH N Y UW AX N L IY
GEOCENTRICISM  JH IY AX S EH N T R IH S IX Z EM
GEOGRAPHICALLY  JH IY AX G R AE F IH K L IY
GEOLOGICAL  JH IY AX L AA JH IH K EL
GEORGE  JH AO R JH
GET  G EH T
GETS  G EH T S
GETTING  G EH T IX NG
GHETTO  G EH T OW
GHETTOS  G EH T OW Z
GHOST  G OW S T
GHOSTLIKE  G OW S T L AY K
GIANT  JH AY IX N T
GIANTS  JH AY IX N T S
GIFT  G IH F T
GIFTED  G IH F T IX D
GIFTS  G IH F T S
GIGANTIC  JH AY G AE N T IH K
GIN  JH IH N
GIRAFFES  JH AXR AE F S
GIRL  G ER L
GIRLIE  G ER L IY
GIRLISHLY  G ER L IH SH L IY
GIRLS  G ER L Z
GIVE  G IH V
GIVEN  G IH V AX N
GIVES  G IH V Z
GIVIN'  G IH V AX N
GLAND  G L AE N D
GLASS  G L AE S
GLAZE  G L EY Z
GLAZED  G L EY Z D
GLAZING  G L EY Z IX NG
GLEAM  G L IY M
GLEAMED  G L IY M D
GLEAMING  G L IY M IX NG
GLEE  G L IY
GLEE-CLUB  G L IY K L AH B
GLIMPSE  G L IH M P S
GLISTENED  G L IH S EN D
GLISTENING  G L IH S EN IX NG
GLOOM  G L UW M
GLORIES  G L AO R IY Z
GLORIFIED  G L AO R IH F AY D
GLOSSY  G L AO S IY
GLOVES  G L AH V Z
GLOW  G L OW
GLOWED  G L OW D
GLUE  G L UW
GLUED  G L UW D
GLUTTONS  G L AH T EN Z
GO  G OW
GO-CART  G OW K AA R T
GOAL  G OW L
GOALS  G OW L Z
GOAT  G OW T
GOES  G OW Z
GOIN'  G OW IH N
GOING  G OW IX NG
GOLD  G OW L D
GOLFING  G AA L F IX NG
GONE  G AO N
GONNA  G AH N AX
GOOD  G UH D
GOOD-NEWS  G UH D N UW Z
GOOD-SIZE  G UH D S AY Z
GOODNESS  G UH D N IX S
GOODNIGHT  G UH D N AY T
GOOSE  G UW S
GOOSEBERRY  G UW S B EH R IY
GORGEOUS  G AO R JH IX S
GOSH  G AA SH
GOT  G AA T
GOULASH  G UW L AA SH
GOVERN  G AH V AXR N
GOVERNING  G AH V AXR N IX NG
GOVERNMENT  G AH V AXR N M AX N T
GOVERNOR  G AH V AXR N AXR
GOWNS  G AW N Z
GRAB  G R AE B
GRACEFULLY  G R EY S F AH L IY
GRADE  G R EY D
GRADE-EQUIVALENT  G R EY D IH K W IH V EL AX N T
GRADES  G R EY D Z
GRADUALLY  G R AE JH UW AX L IY
GRADUATION  G R AE JH UW EY SH IX N
GRAINS  G R EY N Z
GRANDMOTHER  G R AE N D M AH DH AXR
GRANTS  G R AE N T S
GRAPH  G R AE F
GRATEFUL  G R EY T F EL
GRAYING  G R EY IX NG
GRAZING  G R EY Z IX NG
GREASING  G R IY S IX NG
GREASY  G R IY S IY
GREAT  G R EY T
GREATER  G R EY T AXR
GREATLY  G R EY T L IY
GREEDILY  G R IY D AX L IY
GREEN  G R IY N
GREENNESS  G R IY N IX S
GREETED  G R IY T IX D
GREG  G R EH G
GREGORY  G R EH G AXR IY
GRIEVANCE  G R IY V AX N S
GRIEVANCES  G R IY V AX N S IX Z
GRILL  G R IH L
GRIN  G R IH N
GRINNED  G R IH N D
GRIP  G R IH P
GROIN  G R OY N
GROOM  G R UW M
GROSS  G R OW S
GROTESQUE  G R OW T EH S K
GROUND  G R AW N D
GROUNDHOG  G R AW N D HH AO G
GROUP  G R UW P
GROUPS  G R UW P S
GROW  G R OW
GROWING  G R OW IX NG
GROWN  G R OW N
GROWNUPS  G R OW N AH P S
GROWS  G R OW Z
GROWTH  G R OW TH
GRUDGINGLY  G R AH JH IX NG L IY
GRUNT  G R AH N T
GUARANTEED  G AE R AX N T IY D
GUARANTEES  G AE R AX N T IY Z
GUARD  G AA R D
GUERRILLA  G ER IH L AX
GUERRILLAS  G ER IH L AX Z
GUESS  G EH S
GUIDANCE  G AY D EN S
GUIDE  G AY D
GUIDEBOOK  G AY D B UH K
GUIDES  G AY D Z
GUILT  G IH L T
GUILTY  G IH L T IY
GUM  G AH M
GUMS  G AH M Z
GUN  G AH N
GUNMAN  G AH N M IX N
GUNPOINT  G AH N P OY N T
GUNPOWDER  G AH N P AW D AXR
GUNS  G AH N Z
GURGLE  G ER G EL
GUS  G AH S
GUSHED  G AH SH T
GUTTURAL  G AH T AXR EL
GUY  G AY
GUYS  G AY Z
GWEN  G W EH N
GYRO  JH AY R OW
GYROCOMPASS  JH AY R OW K AH M P AX S
HA  HH AA
HABIT  HH AE B IX T
HAD  HH AE D
HAFTA  HH AE F T AX
HAGGARD  HH AE G AXR D
HAILS  HH EY L Z
HAIR  HH AE R
HAIRED  HH AE R D
HALF  HH AE F
HALF-CITY  HH AE F S IH T IY
HALF-INCH  HH AE F IH N CH
HALF-MAN  HH AE F M AE N
HALLOWEEN  HH AE L OW IY N
HALLWAY  HH AO L W EY
HALVES  HH AE V Z
HAM  HH AE M
HAM-RADIO  HH AE M R EY D IY OW
HAND  HH AE N D
HANDBAG  HH AE N D B AE G
HANDED  HH AE N D IX D
HANDFUL  HH AE N D F UH L
HANDLE  HH AE N D EL
HANDLING  HH AE N D EL IX NG
HANDS  HH AE N D Z
HANDSOME  HH AE N S AX M
HANDY  HH AE N D IY
HANDYMAN  HH AE N D IY M AE N
HANDYMAN-CARPENTER  HH AE N D IY M AE N K AA R P AX N T AXR
HANGING  HH AE NG IX NG
HANGOVERS  HH AE NG OW V AXR Z
HAPPEN  HH AE P AX N
HAPPENED  HH AE P AX N D
HAPPENING  HH AE P AX N IX NG
HAPPIER  HH AE P IY AXR
HAPPILY  HH AE P AX L IY
HAPPY  HH AE P IY
HARD  HH AA R D
HARDLY  HH AA R D L IY
HARDY  HH AA R D IY
HARMLESSLY  HH AA R M L AX S L IY
HARMONIZE  HH AA R M AX N AY Z
HARMONY  HH AA R M AX N IY
HARMS  HH AA R M Z
HARSH  HH AA R SH
HAS  HH AE Z
HASTILY  HH EY S T AX L IY
HAT  HH AE T
HATE  HH EY T
HATED  HH EY T IX D
HATRED  HH EY T R IX D
HATS  HH AE T S
HAUGHTY  HH AO T IY
HAULING  HH AO L IX NG
HAUNTED  HH AO N T IX D
HAVE  HH AE V
HAVEN'T  HH AE V EN T
HAVING  HH AE V IX NG
HAWING  HH AO IX NG
HAY  HH EY
HAZARDS  HH AE Z AXR D Z
HAZE  HH EY Z
HE  HH IY
HE'D  HH IY D
HE'LL  HH IH L
HE'S  HH IY Z
HEAD  HH EH D
HEAD-IN-THE-CLOUDS  HH EH D IH N DH AX K L AW D Z
HEADACHE  HH EH D EY K
HEADACHES  HH EH D EY K S
HEADING  HH EH D IX NG
HEADQUARTERS  HH EH D K W AO T AXR Z
HEADS  HH EH D Z
HEALING  HH IY L IX NG
HEALTH  HH EH L TH
HEALTHFUL  HH EH L TH F UH L
HEALTHIER  HH EH L TH IY AXR
HEALTHY  HH EH L TH IY
HEAP  HH IY P
HEAR  HH IH R
HEARD  HH ER D
HEART  HH AA R T
HEARTILY  HH AA R T AX L IY
HEAT  HH IY T
HEAT'S  HH IY T S
HEATER  HH IY T AXR
HEATING  HH IY T IX NG
HEAVE  HH IY V
HEAVEN  HH EH V AX N
HEAVENS  HH EH V AX N Z
HEAVIER  HH EH V IY AXR
HEAVY  HH EH V IY
HECK  HH EH K
HEELS  HH IY L Z
HEIGHTS  HH AY T S
HELD  HH EH L D
HELIUM  HH IY L IY AX M
HELL  HH EH L
HELLO  HH EH L OW
HELP  HH EH L P
